,Mum,,,,,,,Dad,,,,,,,Me,,,,,
,To Bed,WakeUp,To Sleep,Out of Bed,Slept,Hours,,To Bed,WakeUp,To Sleep,Out of Bed,Slept,Hours,,To Bed,WakeUp,To Sleep,Out of Bed,Slept,Hours
23-Mar,12:00:00 AM,3:45:00 AM,6:00:00 AM,8:00:00 AM,5:45:00 AM,5.75,,10:40:00 PM,3:40:00 AM,4:30:00 AM,6:15:00 AM,4:05:00 AM,4.083333333,,1:00:00 AM,,,8:00:00 AM,7:00:00 AM,9
24-Mar,12:15:00 AM,3:40:00 AM,6:15:00 AM,8:00:00 AM,5:40:00 AM,5.66,,10:50:00 PM,3:40:00 AM,4:40:00 AM,6:00:00 AM,3:50:00 AM,3.833333333,,12:00:00 PM,,,10:00:00 AM,10:00:00 AM,10
25-Mar,11:50:00 PM,2:45:00 AM,3:35:00 AM,8:00:00 AM,7:00:00 AM,7,,10:20:00 PM,5:40:00 AM,5:50:00 AM,9:15:00 AM,7:25:00 AM,7.416666667,,2:00:00 AM,,,11:30:00 AM,9:30:00 AM,9.5
26-Mar,12:00:00 AM,4:50:00 AM,6:30:00 AM,8:15:00 AM,6:35:00 AM,6.583333333,,11:00:00 PM,2:00:00 AM,3:10:00 AM,9:30:00 AM,7:20:00 AM,7.333333333,,1:30:00 AM,,,11:30:00 AM,10:00:00 AM,10
27-Mar,11:40:00 PM,3:15:00 AM,4:30:00 AM,8:15:00 AM,6:40:00 AM,6.666666667,,10:20:00 PM,3:40:00 AM,4:45:00 AM,6:00:00 AM,3:15:00 AM,3.25,,2:00:00 AM,,,12:00:00 AM,10:00:00 AM,10
28-Mar,2:30:00 AM,,,6:30:00 AM,9:00:00 AM,9,,10:50:00 PM,,,7:30:00 AM,6:20:00 AM,6.333333333,,1:00:00 AM,,,7:45:00 AM,6:45:00 AM,6.75
29-Mar,11:25:00 PM,4:00:00 AM,4:40:00 AM,7:45:00 AM,6:30:00 AM,6.5,,11:00:00 PM,,,8:20:00 AM,7:20:00 AM,7.333333333,,12:00:00 PM,2:00:00 AM,2:45:00 AM,7:45:00 AM,7:00:00 AM,7
30-Mar,11:00:00 PM,3:30:00 AM,4:00:00 AM,8:15:00 AM,6:45:00 AM,6.75,,12:00:00 PM,3:10:00 AM,4:30:00 AM,8:00:00 AM,6:40:00 PM,6.666666667,,1:00:00 AM,3:15:00 AM,3:30:00 AM,8:00:00 AM,7:45:00 AM,7.75
31-Mar,11:45:00 PM,2:15:00 AM,4:00:00 AM,7:30:00 AM,5:30:00 AM,5.5,,11:30:00 AM,4:20:00 AM,4:40:00 AM,8:30:00 AM,7:40:00 PM,7.666666667,,1:00:00 AM,3:00:00 AM,3:30:00 AM,10:00:00 AM,8:30:00 AM,8.5
1-Apr,11:10:00 PM,5:00:00 AM,5:45:00 AM,7:45:00 AM,6:10:00 AM,6.166666667,,10:20:00 AM,6:10:00 AM,6:20:00 AM,9:20:00 AM,7:30:00 PM,7.5,,1:00:00 AM,4:30:00 AM,5:15:00 AM,11:00:00 AM,9:15:00 AM,9.25
2-Apr,12:20:00 AM,6:00:00 AM,7:30:00 AM,9:20:00 AM,8:10:00 AM,8.166666667,,11:00:00 AM,5:00:00 AM,5:40:00 AM,9:45:00 AM,8:05:00 PM,8.083333333,,4:00:00 AM,,,3:00:00 PM,11:00:00 AM,11
3-Apr,12:15:00 AM,5:30:00 AM,,7:30:00 AM,7:15:00 AM,7.25,,11:00:00 PM,5:50:00 AM,6:40:00 AM,6:20:00 AM,4:30:00 AM,4.5,,2:00:00 AM,,,12:00:00 AM,10:00:00 AM,10
4-Apr,11:30:00 AM,2:30:00 AM,3:15:00 AM,7:30:00 AM,6:15:00 PM,6.25,,10:45:00 PM,4:20:00 AM,4:40:00 AM,6:45:00 AM,5:10:00 AM,5.166666667,,12:00:00 PM,,,7:45:00 AM,7:45:00 AM,7.75
5-Apr,12:15:00 AM,,,7:40:00 AM,7:55:00 AM,7.916666667,,10:45:00 PM,6:15:00 AM,6:40:00 AM,8:05:00 AM,6:25:00 AM,6.416666667,,1:00:00 AM,3:30:00 AM,4:00:00 AM,7:45:00 AM,6:15:00 AM,6.25
6-Apr,,,,,,,,10:30:00 PM,,,8:30:00 AM,7:00:00 AM,7,,12:00:00 PM,1:30:00 AM,2:15:00 AM,8:00:00 AM,7:15:00 AM,7.25
7-Apr,,,,,,,,10:40:00 PM,,,9:00:00 AM,7:40:00 AM,7.666666667,,2:00:00 AM,,,10:00:00 AM,8:00:00 AM,8
8-Apr,,,,,Sum,95.16,,11:45:00 PM,,,9:30:00 AM,9:15:00 AM,9.25,,2:00:00 AM,,,12:00:00 AM,10:00:00 AM,10
9-Apr,,,,,Ave,6.797142857,,12:00:00 PM,,,8:30:00 AM,8:30:00 PM,8.5,,,,,,,
10-Apr,,,,,,,,10:20:00 PM,,,8:20:00 AM,6:40:00 AM,6.666666667,,,,,,,
11-Apr,,,,,,,,,,,,,,,,,,,,
12-Apr,,,,,,,,,,,,Sum,124.6666667,,,,,,Sum,148
13-Apr,,,,,,,,,,,,Ave,6.561403509,,,,,,Ave,8.705882353
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
